Order,Word,Translation,corrAnsEspV,practiceListB,practiceListB0,practiceListB1,practiceListB2,practiceListB3,practiceListB4,practiceListB5,practiceListB6,practiceListB7,conditionB,stimuliListB0,stimuliListB1,stimuliListB2,stimuliListB3,stimuliListB4,stimuliListB5,stimuliListB6,stimuliListB7,stimuliListB8,stimuliListB9,stimuliListB10,stimuliListB11,stimuliListB12,stimuliListB13,stimuliListB14,stimuliListB15,stimuliListB16,stimuliListB17,stimuliListB18,stimuliListB19,stimuliListB20,stimuliListB21,stimuliListB22,stimuliListB23,stimuliListB24,stimuliListB25,stimuliListB26,stimuliListB27,stimuliListB28,stimuliListB29,stimuliListB30,stimuliListB31,stimuliListB32,stimuliListB33,stimuliListB34,stimuliListB35,stimuliListB36,stimuliListB37,stimuliListB38,stimuliListB39,stimuliListB40,stimuliListB41,stimuliListB42,stimuliListB43,stimuliListB44,stimuliListB45,stimuliListB46,stimuliListB47,syllabification,corrSyl,corrAns,keyCVC,keyCV,corrAnsEngV,questionNum,color,sectionEng,questionTextEng,languageEng,sectionEsp,questionTextEsp,languageEsp,lexEspLoop.thisRepN,lexEspLoop.thisTrialN,lexEspLoop.thisN,lexEspLoop.thisIndex,pracTarLoop.thisRepN,pracTarLoop.thisTrialN,pracTarLoop.thisN,pracTarLoop.thisIndex,pracTrialLoop.thisRepN,pracTrialLoop.thisTrialN,pracTrialLoop.thisN,pracTrialLoop.thisIndex,expTarLoop.thisRepN,expTarLoop.thisTrialN,expTarLoop.thisN,expTarLoop.thisIndex,expTrialLoop.thisRepN,expTrialLoop.thisTrialN,expTrialLoop.thisN,expTrialLoop.thisIndex,sylPracLoop.thisRepN,sylPracLoop.thisTrialN,sylPracLoop.thisN,sylPracLoop.thisIndex,syllableLoop.thisRepN,syllableLoop.thisTrialN,syllableLoop.thisN,syllableLoop.thisIndex,lexEngLoop.thisRepN,lexEngLoop.thisTrialN,lexEngLoop.thisN,lexEngLoop.thisIndex,trials_blp_hist.thisRepN,trials_blp_hist.thisTrialN,trials_blp_hist.thisN,trials_blp_hist.thisIndex,trials_blp_use.thisRepN,trials_blp_use.thisTrialN,trials_blp_use.thisN,trials_blp_use.thisIndex,trials_blp_prof.thisRepN,trials_blp_prof.thisTrialN,trials_blp_prof.thisN,trials_blp_prof.thisIndex,trials_blp_att.thisRepN,trials_blp_att.thisTrialN,trials_blp_att.thisN,trials_blp_att.thisIndex,lexEsp_key_resp.keys,lexEsp_key_resp.corr,lexEsp_key_resp.rt,seg_key_resp.keys,seg_key_resp.rt,expSyl_key_resp.keys,expSyl_key_resp.corr,expSyl_key_resp.rt,lexEng_key_resp.keys,lexEng_key_resp.corr,lexEng_key_resp.rt,rating_lang_hist.response,rating_lang_hist.rt,rating_use_eng.response,rating_lang_prof.response,rating_lang_prof.rt,rating_lang_att.response,rating_lang_att.rt,01_Participante (Participant):,02_Sesión (Session):,03_Nombre (First name):,04_Apellido (Last name):,05_Edad (Age):,06_Sexo (Gender):,07_País de nacimiento (Birth country):,08_Lugar de residencia (Place of residence):,09_Nivel más alto de formación académica (Highest level of formal education):,10_Idioma preferido (Preferred language):,date,expName,psychopyVersion,frameRate,
,,,,filleritem3,congreso,vergüenza,deciro,sutnido,gozada,gaferdo,vavipo,varilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,carrierItem,silbido,cosigna,sildedo,venuro,venado,delbides,coserna,deltoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,filleritem1,bacteria,farsante,nencida,parvaza,campaña,gimega,navura,burrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,targetSyl,si,co,sil,ve,ven,de,cos,del,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,filleritem7,noviazgo,ternera,tenvila,jagito,pocilga,vinsosta,fensuace,batuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,filleritem1,bacteria,farsante,nencida,parvaza,campaña,gimega,navura,burrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,filleritem8,donaire,pureza,devillo,foscillo,cigoto,nocena,galgango,vaquilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,carrierItem,silbido,cosigna,sildedo,venuro,venado,delbides,coserna,deltoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,filleritem6,reguero,regato,tocida,simona,cizalla,vantema,dezida,ramaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,filleritem2,confianza,rivera,farime,tarsallo,sarcasmo,bascana,purjida,tungsteno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,filleritem5,concepto,rabillo,vangurdo,tolina,rasguño,tusvuja,tencrido,forraje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,filleritem4,poniente,largueza,mordiso,cortupto,sordera,rorencio,dabtura,ropero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,filleritem9,recodo,percance,rofiolo,tosaba,cornisa,ricobo,binima,sufragio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,filleritem3,congreso,vergüenza,deciro,sutnido,gozada,gaferdo,vavipo,varilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,0,9,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,targetSyl,si,co,sil,ve,ven,de,cos,del,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,filleritem1,bacteria,farsante,nencida,parvaza,campaña,gimega,navura,burrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,filleritem8,donaire,pureza,devillo,foscillo,cigoto,nocena,galgango,vaquilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,filleritem9,recodo,percance,rofiolo,tosaba,cornisa,ricobo,binima,sufragio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,filleritem4,poniente,largueza,mordiso,cortupto,sordera,rorencio,dabtura,ropero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,filleritem6,reguero,regato,tocida,simona,cizalla,vantema,dezida,ramaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,filleritem5,concepto,rabillo,vangurdo,tolina,rasguño,tusvuja,tencrido,forraje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,filleritem2,confianza,rivera,farime,tarsallo,sarcasmo,bascana,purjida,tungsteno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,filleritem3,congreso,vergüenza,deciro,sutnido,gozada,gaferdo,vavipo,varilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,filleritem7,noviazgo,ternera,tenvila,jagito,pocilga,vinsosta,fensuace,batuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,carrierItem,silbido,cosigna,sildedo,venuro,venado,delbides,coserna,deltoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,targetSyl,si,co,sil,ve,ven,de,cos,del,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,,,,,,,,,,filleritem3,cambiazo,ginebra,biñena,postigo,verdura,nenedo,sucema,nurese,perdisno,depiaro,gordura,gantarna,remiendo,civillo,nulese,ternura,fogata,bicera,tecillo,cosdura,ventaja,decanro,conducta,sandalia,bimena,palmada,filete,solera,semilla,vislumbre,dulcura,vereda,fivalia,gifema,ruptura,nevera,varime,ciroca,gantina,fastidio,vestolcio,ventisca,ducoste,respuesta,pirijuo,ruñansa,puntilla,poltrona,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.6526401930022985,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,,,,,,,,,,filleritem5,putada,jactancia,lunino,tortazo,vertiente,sobvondo,cicisa,ferfuera,nundero,tudala,fantoche,piglillo,farola,tecido,tildona,serpiente,mordisco,cabsero,tipallo,civicha,tintero,pospana,fortuna,bolzano,denfiña,bandera,felpudo,mensaje,sortija,lectura,nafiaca,jasmina,venetlo,torsenza,burbuja,barbilla,norita,detnana,zaldizo,pulgada,sinvera,pulsera,sitena,soborno,penvalla,cicaigo,vendaje,vivencia,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.13632452100137016,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,,,,,,,,,,filleritem9,balbina,jinete,tonvanza,rejilla,teniente,fuztancia,punfullo,tenguga,nidero,fivancia,dominio,bimina,jarabe,cubteha,sufiasa,sepulcro,ciruelo,lultame,zuccancia,caljero,bigote,tercega,giralda,gotera,demonto,jaqueca,velero,tiniebla,sonido,barbecho,vuzarda,dureza,bardana,ruspina,ribera,navaja,manvera,sisluño,lisbombre,cilindro,cencera,vinilo,senrera,torija,lercuente,decibio,fineza,pizarra,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.1696521699996083,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,,,,,,,,,,filleritem1,pantalla,sandía,vofida,tejado,pintura,depite,cabsiva,poncilla,ricofo,palcillo,langosta,biluesa,narciso,tomida,tulvano,juntura,certeza,docado,hicuila,senena,zancada,parvida,gorguera,tinaja,tidioma,ventana,porfía,lumbrera,renombre,submundo,balzalla,tartana,divona,lirina,talante,zarzuela,nesedo,tifencio,salfrabla,zapato,denciña,bengala,tidencio,portillo,demida,soponso,punzada,testigo,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.20311005400071735,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,,,,,,,,,,filleritem8,veleta,juguete,fampioza,piragua,tesoro,sutmido,suñuela,reninso,canfleco,vinsenza,duquesa,vendagio,tetilla,duliste,pembanse,recado,gomina,gorente,viltancia,codoro,pupitre,tusorto,cigarra,pomada,talfrado,velorio,ribazo,sopapo,sotana,rapiña,vastimo,tocino,ventoble,lasgüenza,butaca,naranjo,fangurdo,zurdado,tivencio,vejiga,vobita,tisana,deroda,sureste,febago,fontama,rimero,tibieza,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.25409023099928163,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,,,,,,,,,,filleritem4,campiña,solvencia,tovero,portento,tobillo,dedioro,puscalla,fascuna,vifema,nansaso,doncella,banzalla,fundillo,cunceza,numete,gentuza,mordaza,daviba,pargaza,bipero,cintura,taviño,vivero,pancarta,lectorio,pandilla,fondillo,pinchazo,torpeza,salchicha,zuscura,zarpazo,baldeblo,turquma,durmiente,persiana,fantarna,tocensia,nuseto,piltrafa,cicora,vigencia,banfalla,garbanzo,bercillo,cuntefa,luneta,lactancia,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.2096494769975834,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,,,,,,,,,,carrierItem,rosario,permsio,cerliza,ganchillo,culebra,camofa,morbollo,limucna,bolipo,corteta,peseta,joruma,bolsillo,paslolla,garventa,volante,pastilla,pesdeña,moniga,murdallo,joroba,linele,paloma,cereza,rosepio,corbata,camisa,garaje,baldosa,moneda,corura,linterna,cosiba,cenoca,centavo,costilla,culitra,ganquillo,periga,morera,palbira,corona,volpeje,limpieza,casgollo,balbusa,castillo,murmullo,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.20283415499943658,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,,,,,,,,,,filleritem2,lenguaje,soltura,moncura,zumbido,sarmiento,neteno,dinona,sobisco,rartanto,bitero,jilguero,cividra,gustillo,devita,cicauco,centeno,cordero,normaso,lisnombre,viztura,tumulto,sociare,gorjeo,sonrisa,cinsecho,bufete,pestillo,polvillo,tortuga,laxante,fimegra,portazo,mipcura,bitena,tornillo,perchero,dosgiente,pificha,canveta,venganza,cecaja,lanzazo,parsida,sobaco,nemeto,zictencia,mortaja,vestuario,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.29897475999678136,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,,,,,,,,,,filleritem7,legajo,suceso,noñita,riqueza,fijeza,sunsanso,fensuale,costonche,tecterio,nastallo,jacinto,fuzallo,recato,rizgura,cuntela,tarima,rudeza,talaja,rucilla,siquija,vigilia,tornanga,regata,fajardo,canreza,salero,topacio,cimiento,picota,resabio,puljida,recurso,mifena,tarbenga,lavabo,redada,dipona,berana,vicime,taquilla,donania,bufido,meptrona,barcaza,dilisia,dosbiente,tobera,dolencia,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.3682301879998704,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,,,,,,,,,,filleritem6,pileta,gusano,tunsuja,reliquia,tarjeta,tunruja,nacañe,fañeilla,recoltre,delido,laguna,tinneza,rastrillo,mingrago,mufenza,reducto,relente,tutmuja,fernuera,lastadia,piscina,poscallo,cornada,tinglado,fimallo,visillo,suspenso,tendencia,tersura,tufillo,binero,regazo,funclera,midena,viruela,viraje,permaza,tercajo,naverdo,vistazo,simedo,pesquisa,suseña,pozuelo,voltura,soreto,remanso,tapete,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.20314282400067896,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,,,,,,,,,,targetSyl,ros,pe,ce,ga,cu,ca,mor,lim,bo,cor,pes,jor,bol,pa,ga,vo,pas,pe,mon,mu,jo,li,pa,cer,ro,co,ca,gar,ba,mon,co,lin,co,cen,ce,cos,cul,gan,per,mo,pal,cor,vol,li,ca,bal,cas,mur,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,,,,,,,,,,filleritem1,pantalla,sandía,vofida,tejado,pintura,depite,cabsiva,poncilla,ricofo,palcillo,langosta,biluesa,narciso,tomida,tulvano,juntura,certeza,docado,hicuila,senena,zancada,parvida,gorguera,tinaja,tidioma,ventana,porfía,lumbrera,renombre,submundo,balzalla,tartana,divona,lirina,talante,zarzuela,nesedo,tifencio,salfrabla,zapato,denciña,bengala,tidencio,portillo,demida,soponso,punzada,testigo,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
,,,,,,,,,,,,,filleritem8,veleta,juguete,fampioza,piragua,tesoro,sutmido,suñuela,reninso,canfleco,vinsenza,duquesa,vendagio,tetilla,duliste,pembanse,recado,gomina,gorente,viltancia,codoro,pupitre,tusorto,cigarra,pomada,talfrado,velorio,ribazo,sopapo,sotana,rapiña,vastimo,tocino,ventoble,lasgüenza,butaca,naranjo,fangurdo,zurdado,tivencio,vejiga,vobita,tisana,deroda,sureste,febago,fontama,rimero,tibieza,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
